Battlefield,BF
Bell Tower,BT
Big Blue,BB
Bowser's Castle,BC
Castle Siege,CS
Ceres Space Colony,CSC
Clock Town,CT
Cookie Country,CC
Corneria,CRN
Dead Line,DDL
Delfino's Secret,DLS
Dinosaur Land,DL
Distant Planet,DP
Dreamland,DRL
Final Destination,FD
Flat Zone,FZ
Fountain of Dreams,FoD
Fourside,FS
Frigate Husk,FH
Golden Temple,GT
Green Hill Zone,GHZ
Halberd,HBD
Hanenbow,HNB
Hyrule Castle,HC
Infinite Glacier,IG
Jungle Japes,JJ
Kongo Jungle,KJ
Luigi's Mansion,LM
Lylat Cruise,LC
Mario Circuit,MRC
Metal Cavern,MC
Minecart Madness,MM
Norfair,NF
Onett,ON
Peach's Castle,PC
Pictochat,PTC
Pirate Ship,PS
Planet Zebes,PZ
Pokéfloats,PF
Pokémon Stadium 2,PS2
Port Town Aero Dive,PAD
Rainbow Cruse,RC
Rumble Falls,RF
Saffron City,SC
Shadow Moses Island,SMI
Sky Sanctuary Zone,SSZ
Skyworld,SKW
Smashville,SV
Spear Pillar,SP
Subspace,SBS
Temple,TP
Temple of Time,ToT
Training Room,TR
Venom,VN
Venus Lighthouse,VL
Wario Land,WL
WarioWare,WW
Yoshi's Island,YI
Yoshi's Story,YS
